QNMinimizer called on double function of 98572 variables, using M = 15.
          An explanation of the output:               
Iter           The number of iterations
evals          The number of function evaluations
SCALING        <D> Diagonal scaling was used
               <I> Scaled Identity
LINESEARCH     [## M steplength]  Minpack linesearch
                   1-Function value was too high
                   2-Value ok, gradient positive, positive curvature
                   3-Value ok, gradient negative, positive curvature
                   4-Value ok, gradient negative, negative curvature
               [.. B]  Backtracking
VALUE          The current function value
TIME           Total elapsed time
|GNORM|        The current norm of the gradient
{RELNORM}      The ratio of the current to initial gradient norms
AVEIMPROVE     The average improvement / current value

Iter ## evals ## <SCALING> [LINESEARCH] VALUE TIME |GNORM| {RELNORM} AVEIMPROVE

Iter 49 evals 86 <D> [M 1,000E0] 9,299E2 55,77s |3,646E1| {2,799E-4} 4,758E-3 
Iter 50 evals 87 <D> [M 1,000E0] 9,239E2 56,47s |5,284E1| {4,056E-4} 4,800E-3 
Iter 51 evals 88 <D> [M 1,000E0] 9,185E2 57,14s |2,370E1| {1,819E-4} 4,800E-3 
Iter 52 evals 89 <D> [M 1,000E0] 9,099E2 57,81s |1,008E1| {7,742E-5} 4,747E-3 
Iter 53 evals 90 <D> [M 1,000E0] 8,985E2 58,50s |1,560E1| {1,197E-4} 5,601E-3 
Iter 54 evals 91 <D> [1M 4,501E-1] 8,940E2 59,77s |1,777E1| {1,364E-4} 5,543E-3 
Iter 55 evals 93 <D> [M 1,000E0] 8,894E2 60,40s |1,072E1| {8,229E-5} 5,482E-3 
Iter 56 evals 94 <D> [M 1,000E0] 8,845E2 61,05s |2,471E1| {1,897E-4} 5,675E-3 
Iter 57 evals 95 <D> [M 1,000E0] 8,804E2 61,69s |9,864E0| {7,573E-5} 5,503E-3 
Iter 58 evals 96 <D> [M 1,000E0] 8,776E2 62,40s |1,048E1| {8,046E-5} 5,416E-3 
Iter 59 evals 97 <D> [M 1,000E0] 8,750E2 63,07s |1,031E1| {7,919E-5} 5,089E-3 
Iter 60 evals 98 <D> [M 1,000E0] 8,730E2 63,74s |6,888E0| {5,288E-5} 4,738E-3 
Iter 61 evals 99 <D> [M 1,000E0] 8,712E2 64,42s |3,986E0| {3,060E-5} 4,042E-3 
Iter 62 evals 100 <D> [M 1,000E0] 8,683E2 65,03s |1,639E1| {1,258E-4} 3,162E-3 
Iter 63 evals 101 <D> [2M 5,061E-1] 8,658E2 66,36s |8,910E0| {6,840E-5} 2,957E-3 
Iter 64 evals 103 <D> [M 1,000E0] 8,628E2 67,02s |9,482E0| {7,280E-5} 2,809E-3 
Iter 65 evals 104 <D> [M 1,000E0] 8,601E2 67,66s |2,218E1| {1,703E-4} 2,579E-3 
Iter 66 evals 105 <D> [M 1,000E0] 8,582E2 68,35s |5,745E0| {4,410E-5} 2,350E-3 
Iter 67 evals 106 <D> [M 1,000E0] 8,571E2 69,06s |1,434E1| {1,101E-4} 2,169E-3 
Iter 68 evals 107 <D> [M 1,000E0] 8,564E2 69,79s |2,750E1| {2,111E-4} 1,968E-3 
Iter 69 evals 108 <D> [M 1,000E0] 8,555E2 70,51s |5,104E0| {3,919E-5} 1,857E-3 
Iter 70 evals 109 <D> [M 1,000E0] 8,548E2 71,17s |9,220E0| {7,078E-5} 1,747E-3 
Iter 71 evals 110 <D> [M 1,000E0] 8,537E2 71,86s |1,659E1| {1,274E-4} 1,550E-3 
